;Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape;Unnamed: 0;NOM_USUEL;precipitations heure;duree prec (en min);force moyenne vent (m/s);datetime
13;4264;AV_Champs_Elysees;2024-09-01 18:00:00;634.0;20.52445;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5874;PARIS-MONTSOURIS;0.0;0.0;1.8;2024-09-01 18:00:00
14;4264;AV_Champs_Elysees;2024-09-01 19:00:00;684.0;16.70111;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5875;PARIS-MONTSOURIS;0.0;0.0;1.5;2024-09-01 19:00:00
15;4264;AV_Champs_Elysees;2024-09-01 20:00:00;678.0;16.27778;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5876;PARIS-MONTSOURIS;0.0;0.0;1.3;2024-09-01 20:00:00
16;4264;AV_Champs_Elysees;2024-09-01 21:00:00;689.0;15.595;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5877;PARIS-MONTSOURIS;0.0;0.0;2.0;2024-09-01 21:00:00
17;4264;AV_Champs_Elysees;2024-09-01 22:00:00;701.0;12.70889;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5878;PARIS-MONTSOURIS;0.0;0.0;1.6;2024-09-01 22:00:00
18;4264;AV_Champs_Elysees;2024-09-01 23:00:00;596.0;10.21056;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5879;PARIS-MONTSOURIS;0.0;0.0;1.7;2024-09-01 23:00:00
19;4264;AV_Champs_Elysees;2024-09-02 00:00:00;601.0;9.05778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5880;PARIS-MONTSOURIS;0.0;0.0;1.8;2024-09-02 00:00:00
20;4264;AV_Champs_Elysees;2024-09-02 01:00:00;553.0;8.33944;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5881;PARIS-MONTSOURIS;0.0;0.0;1.1;2024-09-02 01:00:00
21;4264;AV_Champs_Elysees;2024-09-02 02:00:00;442.0;6.15722;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5882;PARIS-MONTSOURIS;0.0;0.0;1.5;2024-09-02 02:00:00
22;4264;AV_Champs_Elysees;2024-09-02 03:00:00;377.0;5.59278;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5883;PARIS-MONTSOURIS;0.0;0.0;1.6;2024-09-02 03:00:00
