Modèle,RMSE Test,RMSE Train,Écart %,MAE,R²,Params
XGBoost,86.17394866781196,11.672094870761951,86.45519318633502,61.1096819425884,0.8876956246586069,"{'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
XGBoost,86.97051519952551,25.23584543662359,70.98344723067564,61.82784626207854,0.8856098117328552,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_weight': 3, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 3.0}"
XGBoost,87.32175061107928,17.624628044784,79.81645131774555,61.901239720394734,0.8846840033687899,"{'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.3, 'reg_alpha': 0.5, 'reg_lambda': 3.0}"
XGBoost,86.1800486139626,15.072327033213444,82.51065382809325,61.46711457905016,0.8876797248443637,"{'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_weight': 7, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 2.0}"
XGBoost,87.22141234740182,13.91459233844202,84.04681606963624,62.107348054584705,0.8849488619890641,"{'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.07, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 3.0}"
XGBoost,86.48502533496408,2.822203050668398,96.73677259185882,61.53277146724233,0.8868833530334901,"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.07, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 1.5}"
XGBoost,87.52789557880678,3.3432471100891004,96.18036388515823,62.10348821807326,0.884138895834636,"{'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 3.0}"
XGBoost,86.55324763855883,13.200152812879521,84.74909587679186,61.066049092610676,0.8867048221965781,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.7, 'reg_lambda': 1.5}"
XGBoost,85.40986835736904,25.219306443302624,70.4726082262756,60.19281314247533,0.8896783384276257,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.3, 'reg_alpha': 0.7, 'reg_lambda': 3.0}"
XGBoost,86.07007651939547,10.415049415261322,87.89933756720393,61.44217656185752,0.8879661998470425,"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.3, 'reg_lambda': 3.0}"
XGBoost,86.93515533770088,6.157027582021769,92.91767805773775,61.208927906772544,0.8857028087441853,"{'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 3, 'gamma': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 1.5}"
