Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2024-09-05T00:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-03T09:00:00+02:00;584.0;4.82333;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-03T03:00:00+02:00;82.0;0.48056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-03T02:00:00+02:00;101.0;0.67056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-03T01:00:00+02:00;192.0;1.205;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-04-03T11:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-02T09:00:00+02:00;640.0;5.775;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2024-09-04T15:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2024-09-04T16:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2024-09-04T19:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-01-06T13:00:00+01:00;555.0;4.58611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-01-06T10:00:00+01:00;614.0;5.17945;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
