date_heure_comptage;debit_horaire;taux_occupation;etat_trafic;etat_arc;est_vacances;est_ferie;precipitation;duree_precipitation_min;vitesse_vent_ms
2025-09-02 10:00:00;1122.0;61.83833;Bloqué;Ouvert;0;0;0.0;0.0;4.9
2025-08-04 13:00:00;890.0;20.115;Pré-saturé;Ouvert;1;0;0.0;0.0;3.5
2025-05-06 17:00:00;855.0;20.79444;Pré-saturé;Ouvert;0;0;0.0;0.0;5.2
2025-05-06 18:00:00;870.0;23.51444;Pré-saturé;Ouvert;0;0;0.0;0.0;4.8
2025-05-06 22:00:00;611.0;10.61778;Fluide;Ouvert;0;0;0.0;0.0;4.9
2025-05-06 23:00:00;597.0;9.71556;Fluide;Ouvert;0;0;0.0;0.0;5.4
2025-10-10 15:00:00;968.0;23.145;Pré-saturé;Ouvert;0;0;0.0;0.0;2.9
2025-10-10 14:00:00;901.0;26.13333;Pré-saturé;Ouvert;0;0;0.0;0.0;2.1
2025-10-10 13:00:00;939.0;25.14945;Pré-saturé;Ouvert;0;0;0.0;0.0;2.7
2025-08-04 16:00:00;841.0;22.11333;Pré-saturé;Ouvert;1;0;0.0;0.0;3.5
2025-08-04 15:00:00;946.0;22.055;Pré-saturé;Ouvert;1;0;0.0;0.0;3.8
2025-08-04 14:00:00;919.0;18.21944;Pré-saturé;Ouvert;1;0;0.0;0.0;4.2
2025-08-04 21:00:00;717.0;18.415;Pré-saturé;Ouvert;1;0;0.0;0.0;2.3
2025-08-04 20:00:00;742.0;22.70111;Pré-saturé;Ouvert;1;0;0.0;0.0;2.4
2025-08-04 19:00:00;831.0;30.90333;Saturé;Ouvert;1;0;0.0;0.0;2.9
2025-01-06 11:00:00;985.0;12.965;Fluide;Invalide;0;0;0.2;35.0;5.9
2024-09-04 23:00:00;666.0;10.16667;Fluide;Invalide;0;0;0.0;0.0;4.1
2024-09-05 00:00:00;637.0;10.225;Fluide;Invalide;0;0;0.0;0.0;3.1
2025-09-03 04:00:00;258.0;3.22389;Fluide;Ouvert;0;0;0.0;0.0;4.8
2024-11-03 19:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;1.3
2024-11-03 16:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.8
2024-11-03 15:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.4
2024-11-03 12:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.9
2024-11-03 11:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.1
2024-11-03 10:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.2
2024-11-03 08:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.2
2024-11-03 06:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;3.3
2024-11-03 03:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.8
2025-03-02 00:00:00;904.0;12.09111;Fluide;Ouvert;1;0;0.0;0.0;3.4
2025-03-01 23:00:00;881.0;12.89889;Fluide;Ouvert;1;0;0.0;0.0;3.7
2025-03-01 20:00:00;889.0;13.90889;Fluide;Ouvert;1;0;0.0;0.0;5.1
2025-03-01 19:00:00;806.0;17.63333;Pré-saturé;Ouvert;1;0;0.0;0.0;4.9
2025-03-01 16:00:00;964.0;20.12611;Pré-saturé;Ouvert;1;0;0.0;0.0;4.9
2025-03-01 15:00:00;871.0;19.62889;Pré-saturé;Ouvert;1;0;0.0;0.0;5.1
2025-03-01 14:00:00;806.0;13.31778;Fluide;Ouvert;1;0;0.0;0.0;5.3
2025-03-01 13:00:00;860.0;18.11167;Pré-saturé;Ouvert;1;0;0.0;0.0;4.8
2025-03-01 12:00:00;790.0;14.31945;Fluide;Ouvert;1;0;0.0;0.0;3.7
2025-03-01 11:00:00;749.0;11.795;Fluide;Ouvert;1;0;0.0;0.0;4.2
2025-03-01 09:00:00;468.0;4.98889;Fluide;Ouvert;1;0;0.0;0.0;3.4
2025-03-01 08:00:00;457.0;5.64167;Fluide;Ouvert;1;0;0.0;0.0;3.7
2025-03-01 07:00:00;220.0;29.29833;Pré-saturé;Ouvert;1;0;0.0;0.0;3.6
2025-03-01 06:00:00;111.0;0.0;Fluide;Ouvert;1;0;0.0;0.0;4.2
2025-03-01 04:00:00;632.0;23.52056;Pré-saturé;Ouvert;1;0;0.0;0.0;2.8
2024-09-04 15:00:00;688.0;12.67889;Fluide;Invalide;0;0;0.0;0.0;1.8
2024-09-04 16:00:00;710.0;14.83722;Fluide;Invalide;0;0;0.0;0.0;2.9
2024-09-04 18:00:00;742.0;18.00389;Pré-saturé;Invalide;0;0;0.0;0.0;2.2
2024-09-04 19:00:00;671.0;14.46445;Fluide;Invalide;0;0;0.0;0.0;2.8
2025-01-06 17:00:00;859.0;19.26778;Pré-saturé;Invalide;0;0;0.0;0.0;4.6
2025-01-06 15:00:00;893.0;20.78056;Pré-saturé;Invalide;0;0;0.0;8.0;5.1
2025-10-02 18:00:00;923.0;21.8;Pré-saturé;Ouvert;0;0;0.0;0.0;2.1
2025-10-02 20:00:00;1078.0;27.28167;Pré-saturé;Ouvert;0;0;0.0;0.0;2.3
2025-10-02 23:00:00;703.0;11.55222;Fluide;Ouvert;0;0;0.0;0.0;2.1
2025-10-03 00:00:00;701.0;10.81444;Fluide;Ouvert;0;0;0.0;6.0;2.0
2025-04-03 18:00:00;1042.0;23.23556;Pré-saturé;Ouvert;0;0;0.0;0.0;2.2
2025-04-03 20:00:00;1118.0;24.045;Pré-saturé;Ouvert;0;0;0.0;0.0;1.8
2025-08-05 16:00:00;836.0;20.74167;Pré-saturé;Ouvert;1;0;0.0;0.0;3.8
2025-08-05 17:00:00;854.0;29.84389;Pré-saturé;Ouvert;1;0;0.0;0.0;3.6
2025-08-05 19:00:00;887.0;24.92611;Pré-saturé;Ouvert;1;0;0.0;0.0;4.3
2025-08-05 20:00:00;886.0;25.805;Pré-saturé;Ouvert;1;0;0.0;0.0;3.7
2025-08-05 23:00:00;714.0;13.855;Fluide;Ouvert;1;0;0.0;0.0;2.6
2025-08-06 00:00:00;648.0;10.67778;Fluide;Ouvert;1;0;0.0;0.0;2.6
2025-01-06 09:00:00;954.0;11.52;Fluide;Invalide;0;0;0.2;22.0;5.6
2025-04-04 15:00:00;956.0;17.63556;Pré-saturé;Ouvert;0;0;0.0;0.0;4.4
2025-04-04 14:00:00;875.0;19.83944;Pré-saturé;Ouvert;0;0;0.0;0.0;4.5
2025-04-04 13:00:00;1106.0;17.69;Pré-saturé;Ouvert;0;0;0.0;0.0;3.3
2025-04-04 12:00:00;1052.0;16.71612;Pré-saturé;Ouvert;0;0;0.0;0.0;4.8
2025-03-07 14:00:00;1122.0;23.27722;Pré-saturé;Ouvert;0;0;0.0;0.0;3.5
2025-03-07 12:00:00;1254.0;19.225;Pré-saturé;Ouvert;0;0;0.0;0.0;3.9
2025-03-07 11:00:00;1165.0;17.19167;Pré-saturé;Ouvert;0;0;0.0;0.0;3.3
2025-05-01 07:00:00;340.0;4.05167;Fluide;Ouvert;0;1;0.0;0.0;1.5
2025-05-01 08:00:00;285.0;3.25333;Fluide;Ouvert;0;1;0.0;0.0;3.1
2025-05-01 09:00:00;352.0;5.43334;Fluide;Ouvert;0;1;0.0;0.0;2.5
2025-05-01 15:00:00;816.0;20.14778;Pré-saturé;Ouvert;0;1;0.0;0.0;4.6
2025-05-01 16:00:00;;;Inconnu;Invalide;0;1;0.0;0.0;4.3
2025-05-01 17:00:00;870.0;24.67055;Pré-saturé;Ouvert;0;1;0.0;0.0;2.9
2025-05-01 18:00:00;912.0;24.225;Pré-saturé;Ouvert;0;1;0.0;0.0;2.9
2025-05-01 19:00:00;976.0;24.74056;Pré-saturé;Ouvert;0;1;0.0;0.0;1.5
