iter	RMSE
299	59.67470355
300	59.63118161
301	59.58434686
302	59.51554004
303	59.46701315
304	59.44021053
305	59.402741
306	59.3460168
307	59.28035732
308	59.21259606
309	59.16084335
310	59.10341676
311	59.05764549
312	58.9773289
313	58.89552182
314	58.83023438
315	58.77406131
316	58.71141905
317	58.67453438
318	58.64205617
319	58.60175262
320	58.55239018
321	58.49870002
322	58.46278912
323	58.41456601
324	58.34952245
325	58.31002219
326	58.25467584
327	58.23392973
328	58.15902995
329	58.10474021
330	58.07732966
331	58.03487452
332	57.99158632
333	57.92972606
334	57.87865628
335	57.83154504
336	57.77607456
337	57.72695899
338	57.68456279
339	57.63719293
340	57.59119479
341	57.53557069
342	57.4924139
343	57.45522659
344	57.38985172
345	57.33488616
346	57.29334779
347	57.22785546
348	57.17422636
349	57.13916512
350	57.07032496
351	57.00382621
352	56.96115123
353	56.91990447
354	56.8656247
355	56.78124347
356	56.71657483
357	56.66195675
358	56.61060065
359	56.57291023
360	56.53949955
361	56.48523682
362	56.45554647
363	56.42403474
364	56.35853846
365	56.29619364
366	56.23685023
367	56.20431438
368	56.16047912
369	56.12881127
370	56.07925745
371	56.02873121
372	55.97413962
373	55.88591813
374	55.8119113
375	55.7660423
376	55.73663093
377	55.69827365
378	55.66454867
