iter	RMSE
0	289.7537306
1	282.6760231
2	275.8436478
3	269.2202899
4	262.7526609
5	256.5354377
6	250.3888789
7	244.5491524
8	238.7544297
9	233.2760909
10	228.0553507
11	222.9813494
12	218.133445
13	213.181506
14	208.4394404
15	203.9929895
16	199.6264119
17	195.252762
18	190.9751974
19	186.9429017
20	183.1703328
21	179.5486202
22	175.9439178
23	172.5227782
24	169.1497138
25	165.7833784
26	162.7666023
27	159.6927163
28	156.7881308
29	153.9447576
30	151.0671085
31	148.2763118
32	145.5617949
33	143.0268237
34	140.5942042
35	138.2876806
36	135.9674462
37	133.9066635
38	131.7970413
39	129.7189662
40	127.6558732
41	125.6929901
42	123.7807989
43	122.026699
44	120.1180518
45	118.4396149
46	116.8398571
47	115.2512476
48	113.6410273
49	112.1030602
50	110.7389591
51	109.3912611
52	108.0715454
53	106.728209
54	105.44289
55	104.2713434
56	103.1368466
57	102.0443489
58	100.9073248
59	99.96672138
60	98.96348456
61	97.98899651
62	97.08728329
63	96.22310675
64	95.36064029
65	94.50037804
66	93.64613334
67	92.85620585
68	92.08574699
69	91.36814959
70	90.69615795
71	90.0536161
72	89.38318872
73	88.70715386
74	88.14388142
75	87.54433271
76	87.02070324
77	86.43939942
78	85.96802342
79	85.46756463
80	84.92691003
81	84.38620833
82	83.9409984
83	83.55926846
84	83.13308134
85	82.69884783
86	82.33874923
87	81.92199064
88	81.53411744
89	81.18155611
90	80.84594539
91	80.46417839
92	80.14070067
93	79.78997144
94	79.4892625
95	79.15498786
96	78.90519385
97	78.65532529
98	78.35236236
99	78.0255206
100	77.74478806
101	77.49020848
102	77.22572114
103	77.00317381
104	76.7748439
105	76.5297142
106	76.31531895
107	76.10038814
108	75.89373244
109	75.72822097
110	75.53019473
111	75.37929
112	75.13173996
113	74.91420106
114	74.75446607
115	74.54734117
116	74.34289371
117	74.19426074
118	74.0350588
119	73.8778219
120	73.67803806
121	73.51995981
122	73.35750233
123	73.21023068
124	73.03870607
125	72.90634271
126	72.75121773
127	72.60345868
128	72.44181534
129	72.3139402
130	72.16474248
131	72.05685811
132	71.93801888
133	71.81194194
134	71.70387752
135	71.58916414
136	71.45887407
137	71.30881764
138	71.20443499
139	71.07970669
140	70.95613869
141	70.85116923
142	70.71438624
143	70.62129101
144	70.51843805
145	70.40790249
146	70.27015173
147	70.17972269
148	70.08530908
149	69.97468562
150	69.8727613
151	69.78543154
152	69.6657423
153	69.54602519
154	69.42503996
155	69.32273656
156	69.21210518
157	69.11041622
158	69.00317679
159	68.90056987
160	68.81321018
161	68.73090178
162	68.66271771
163	68.56782902
164	68.48951642
165	68.38055138
166	68.30010237
167	68.2241806
168	68.16665679
169	68.0680162
170	68.0093452
171	67.90432672
172	67.82800963
173	67.75028623
174	67.63830314
175	67.52764578
176	67.42541513
177	67.33810009
178	67.26120335
179	67.20996758
180	67.16947415
181	67.09994117
182	67.03305429
183	66.97926014
184	66.87832034
185	66.79890156
186	66.72584997
187	66.6566319
188	66.60084648
189	66.53758203
190	66.44969953
191	66.36326695
192	66.29221828
193	66.21023919
194	66.13633345
195	66.04015464
196	65.96181812
197	65.89378318
198	65.82272782
199	65.7391397
200	65.66251134
201	65.57235767
202	65.45166266
203	65.36777834
204	65.31847338
205	65.25228359
206	65.16354356
207	65.09967069
208	65.04823237
209	64.96759935
210	64.91581494
211	64.84270973
212	64.77343843
213	64.71002909
214	64.6384315
215	64.55333128
216	64.49361086
217	64.43663353
218	64.39189394
219	64.31916194
220	64.25714021
221	64.17335087
222	64.10584296
223	64.04619856
224	63.95494608
225	63.89612022
226	63.83154173
227	63.76498938
228	63.69371315
229	63.62376029
230	63.56474641
231	63.50283113
232	63.44194358
233	63.34747916
234	63.29775109
235	63.24583125
236	63.21003275
237	63.15693664
238	63.11746083
239	63.03767989
240	62.97089452
241	62.9223002
242	62.87337054
243	62.82694484
244	62.77635623
245	62.72578105
246	62.67067887
247	62.62001472
248	62.54452068
249	62.47286474
250	62.4198305
251	62.36264653
252	62.28969202
253	62.21228475
254	62.12300281
255	62.06437119
256	61.99836195
257	61.96199816
258	61.9136777
259	61.81941289
260	61.76960186
261	61.70848578
262	61.64112464
263	61.58677901
264	61.5441142
265	61.50770616
266	61.46516684
267	61.41220882
268	61.3707406
269	61.31251631
270	61.25027371
271	61.20643318
272	61.15536468
273	61.11055521
274	61.06720289
275	61.00588664
276	60.94966254
277	60.91035766
278	60.8174052
279	60.77629387
280	60.70440998
281	60.65623236
282	60.61173519
283	60.54640087
284	60.49977805
285	60.43340017
286	60.37547552
287	60.3387689
288	60.27435032
289	60.21166134
290	60.1693381
291	60.09506705
292	60.05152028
293	60.01083048
294	59.97464285
295	59.93339687
296	59.87037431
297	59.81276064
298	59.7442414
